# Elliptic Curve Lookup Table
# Curve: y² ≡ x³ + 7 (mod 67)
# Base point: G = (2, 22)
# Private key modulus: n = 79
# Format: d Qx Qy k
# d - private key (mod 79)
# Qx - x coordinate (mod 67)
# Qy - y coordinate (mod 67)
# k - private key (mod 79) [same as d]

d	Qx	Qy	k
0	INF	INF	0
1	2	22	1
2	52	7	2
3	62	63	3
4	25	17	4
5	46	40	5
6	11	20	6
7	16	63	7
8	21	42	8
9	13	44	9
10	56	4	10
11	24	30	11
12	14	65	12
13	55	17	13
14	5	20	14
15	53	12	15
16	26	30	16
17	54	50	17
18	66	26	18
19	38	26	19
20	51	47	20
21	12	44	21
22	23	39	22
23	58	22	23
24	7	45	24
25	47	39	25
26	6	42	26
27	17	37	27
28	49	65	28
29	63	12	29
30	42	23	30
31	48	7	31
32	64	39	32
33	34	60	33
34	40	25	34
35	18	12	35
36	61	40	36
37	30	41	37
38	27	40	38
39	4	65	39
40	4	2	40
41	27	27	41
42	30	26	42
43	61	27	43
44	18	55	44
45	40	42	45
46	34	7	46
47	64	28	47
48	48	60	48
49	42	44	49
50	63	55	50
51	49	2	51
52	17	30	52
53	6	25	53
54	47	28	54
55	7	22	55
56	58	45	56
57	23	28	57
58	12	23	58
59	51	20	59
60	38	41	60
61	66	41	61
62	54	17	62
63	26	37	63
64	53	55	64
65	5	47	65
66	55	50	66
67	14	2	67
68	24	37	68
69	56	63	69
70	13	23	70
71	21	25	71
72	16	4	72
73	11	47	73
74	46	27	74
75	25	50	75
76	62	4	76
77	52	60	77
78	2	45	78
